Ngay,Symbol,GiaDongCua
29/12/2023,VCB,80.3
28/12/2023,VCB,82.8
27/12/2023,VCB,82.7
26/12/2023,VCB,82.8
25/12/2023,VCB,81.8
22/12/2023,VCB,80.9
21/12/2023,VCB,80.9
20/12/2023,VCB,81.1
19/12/2023,VCB,81.2
18/12/2023,VCB,81.5
15/12/2023,VCB,82.2
14/12/2023,VCB,84.4
13/12/2023,VCB,83.7
12/12/2023,VCB,84.2
11/12/2023,VCB,84.2
08/12/2023,VCB,85.0
07/12/2023,VCB,85.2
06/12/2023,VCB,85.9
05/12/2023,VCB,85.4
04/12/2023,VCB,86.0
01/12/2023,VCB,85.0
30/11/2023,VCB,84.7
29/11/2023,VCB,85.1
28/11/2023,VCB,85.8
27/11/2023,VCB,85.8
24/11/2023,VCB,86.0
23/11/2023,VCB,85.5
22/11/2023,VCB,86.7
21/11/2023,VCB,86.6
20/11/2023,VCB,86.1
17/11/2023,VCB,85.6
16/11/2023,VCB,88.0
15/11/2023,VCB,87.7
14/11/2023,VCB,86.0
13/11/2023,VCB,85.5
10/11/2023,VCB,86.0
09/11/2023,VCB,87.9
08/11/2023,VCB,89.5
07/11/2023,VCB,88.3
06/11/2023,VCB,89.5
03/11/2023,VCB,88.9
02/11/2023,VCB,89.0
01/11/2023,VCB,87.8
31/10/2023,VCB,86.8
30/10/2023,VCB,85.9
27/10/2023,VCB,85.0
26/10/2023,VCB,84.5
25/10/2023,VCB,85.8
24/10/2023,VCB,86.0
23/10/2023,VCB,84.5
20/10/2023,VCB,84.8
19/10/2023,VCB,84.5
18/10/2023,VCB,85.9
17/10/2023,VCB,85.9
16/10/2023,VCB,86.1
13/10/2023,VCB,86.6
12/10/2023,VCB,86.0
11/10/2023,VCB,86.5
10/10/2023,VCB,86.1
09/10/2023,VCB,84.6
06/10/2023,VCB,85.4
05/10/2023,VCB,84.5
04/10/2023,VCB,86.3
03/10/2023,VCB,86.3
02/10/2023,VCB,86.5
29/09/2023,VCB,87.5
28/09/2023,VCB,88.0
27/09/2023,VCB,87.8
26/09/2023,VCB,87.0
25/09/2023,VCB,89.3
22/09/2023,VCB,89.3
21/09/2023,VCB,87.0
20/09/2023,VCB,88.0
19/09/2023,VCB,88.1
18/09/2023,VCB,88.8
15/09/2023,VCB,89.8
14/09/2023,VCB,89.1
13/09/2023,VCB,89.1
12/09/2023,VCB,89.9
11/09/2023,VCB,88.5
08/09/2023,VCB,89.5
07/09/2023,VCB,89.5
06/09/2023,VCB,90.2
05/09/2023,VCB,90.1
31/08/2023,VCB,89.1
30/08/2023,VCB,89.1
29/08/2023,VCB,88.4
28/08/2023,VCB,87.0
25/08/2023,VCB,86.2
24/08/2023,VCB,87.0
23/08/2023,VCB,86.3
22/08/2023,VCB,88.4
21/08/2023,VCB,89.8
18/08/2023,VCB,89.5
17/08/2023,VCB,89.4
16/08/2023,VCB,89.2
15/08/2023,VCB,88.9
14/08/2023,VCB,89.0
11/08/2023,VCB,90.4
10/08/2023,VCB,88.5
09/08/2023,VCB,90.2
08/08/2023,VCB,90.7
07/08/2023,VCB,90.8
04/08/2023,VCB,90.1
03/08/2023,VCB,90.6
02/08/2023,VCB,91.5
01/08/2023,VCB,91.2
31/07/2023,VCB,91.6
28/07/2023,VCB,93.0
27/07/2023,VCB,92.7
26/07/2023,VCB,93.4
25/07/2023,VCB,91.7
24/07/2023,VCB,104.6
21/07/2023,VCB,105.0
20/07/2023,VCB,105.0
19/07/2023,VCB,106.5
18/07/2023,VCB,104.3
17/07/2023,VCB,104.8
14/07/2023,VCB,105.0
13/07/2023,VCB,104.9
12/07/2023,VCB,104.0
11/07/2023,VCB,103.0
10/07/2023,VCB,102.7
07/07/2023,VCB,105.0
06/07/2023,VCB,100.7
05/07/2023,VCB,102.0
04/07/2023,VCB,100.0
03/07/2023,VCB,100.0
30/06/2023,VCB,100.0
29/06/2023,VCB,101.9
28/06/2023,VCB,101.1
27/06/2023,VCB,100.0
26/06/2023,VCB,100.0
23/06/2023,VCB,99.9
22/06/2023,VCB,100.4
21/06/2023,VCB,100.0
20/06/2023,VCB,99.9
19/06/2023,VCB,101.7
16/06/2023,VCB,105.0
15/06/2023,VCB,103.5
14/06/2023,VCB,102.6
13/06/2023,VCB,102.5
12/06/2023,VCB,101.0
09/06/2023,VCB,100.5
08/06/2023,VCB,100.0
07/06/2023,VCB,97.0
06/06/2023,VCB,99.0
05/06/2023,VCB,98.0
02/06/2023,VCB,94.9
01/06/2023,VCB,93.9
