Ngay,CSAD_t,R_m_t,Abs_R_m_t,R_m_t^2,H1,H2,H3
2019-01-02,0.0004007761963855129,0.00011280613484364545,0.00011280613484364545,1.2725224058362719e-08,1,0,0
2019-01-03,0.0004007761963855129,0.00011280613484364545,0.00011280613484364545,1.2725224058362719e-08,1,0,0
2019-01-04,0.0004007761963855129,0.00011280613484364545,0.00011280613484364545,1.2725224058362719e-08,1,0,0
2019-01-07,0.0004007761963855129,0.00011280613484364545,0.00011280613484364545,1.2725224058362719e-08,1,0,0
2019-01-08,0.0004007761963855129,0.00011280613484364545,0.00011280613484364545,1.2725224058362719e-08,1,0,0
2019-01-09,0.0004007761963855129,0.00011280613484364545,0.00011280613484364545,1.2725224058362719e-08,1,0,0
2019-01-10,0.0004007761963855129,0.00011280613484364545,0.00011280613484364545,1.2725224058362719e-08,1,0,0
2019-01-11,0.0004007761963855129,0.00011280613484364545,0.00011280613484364545,1.2725224058362719e-08,1,0,0
2019-01-14,0.0004006550674774785,0.00011107237918002489,0.00011107237918002489,1.2337073416711226e-08,1,0,0
2019-01-15,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-16,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-17,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-18,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-21,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-22,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-23,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-24,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-25,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-28,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-29,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-30,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-01-31,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-01,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-11,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-12,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-13,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-14,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-15,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-18,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-19,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-20,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-21,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-22,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-25,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-26,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-27,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-02-28,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-03-01,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-03-04,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-03-05,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-03-06,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
2019-03-07,0.0004034861438032122,0.0001157413227877654,0.0001157413227877654,1.3396053800661703e-08,1,0,0
