,Hệ số(coef),Sai số(std err),T-Statistics,P_Value,R^2,Adj. R^2
const,1.46529,0.02407,60.86699,0.0,0.43107,0.42896
Abs_R_m_t,0.46728,0.03568,13.0976,0.0,0.43107,0.42896
R_m_t^2,-0.04849,0.00855,-5.66969,0.0,0.43107,0.42896
