,Hệ số(coef),Sai số(std err),T-Statistics,P_Value,R^2,Adj. R^2
const,1.19168,0.03242,36.76107,0.0,0.53344,0.5313
Abs_R_m_t,0.62392,0.04505,13.84922,0.0,0.53344,0.5313
R_m_t^2,-0.06879,0.01002,-6.86247,0.0,0.53344,0.5313
