,Pre,Pre,In,In,Post,Post
,CSAD_t,R_m_t,CSAD_t,R_m_t,CSAD_t,R_m_t
Mean,1.3591,-0.035,1.8065,0.1394,1.6983,-0.1202
Median,1.3368,-0.0136,1.7479,0.3367,1.5409,0.1558
Maximum,2.7218,1.151,3.2359,3.611,3.5748,4.792
Minimum,0.0,-2.0593,1.0557,-6.4502,0.7936,-5.9857
Std. Dev.,0.2384,0.4618,0.4006,1.2585,0.5415,1.5569
Skewness,0.6499,-0.8811,0.877,-1.4979,1.0094,-0.8585
Kurtosis,8.4477,2.7285,0.4587,4.2103,0.4236,2.1202
Observations,267.0,267.0,543.0,543.0,440.0,440.0
