,Hệ số(coef),Sai số(std err),T-Statistics,P_Value,R^2,Adj. R^2
const,1.28605,0.01562,82.35655,0.0,0.51353,0.51197
Abs_R_m_t,0.58999,0.02494,23.65668,0.0,0.51353,0.51197
R_m_t^2,-0.13054,0.04022,-3.24526,0.0012,0.51353,0.51197
H2_Sq_Rmt,0.06612,0.03916,1.68818,0.09163,0.51353,0.51197
H3_Sq_Rmt,0.06303,0.03918,1.60886,0.1079,0.51353,0.51197
