,Hệ số(coef),Sai số(std err),T-Statistics,P_Value,R^2,Adj. R^2
const,1.23404,0.01968,62.7047,0.0,0.45366,0.44952
Abs_R_m_t,0.28274,0.08131,3.47717,0.00059,0.45366,0.44952
R_m_t^2,0.15154,0.05613,2.69985,0.00739,0.45366,0.44952
