,Abs_R_m_t,R_m_t^2,H2_Sq_Rmt,H3_Sq_Rmt
Abs_R_m_t,1.0,-0.0,-0.0257,0.1454
R_m_t^2,-0.0,1.0,0.6552,0.6922
H2_Sq_Rmt,-0.0257,0.6552,1.0,-0.0029
H3_Sq_Rmt,0.1454,0.6922,-0.0029,1.0
